event,epoch,global_step,AVIID_val/PSNR,AVIID_val/SSIM,AVIID_val/FID,AVIID_val/LPIPS,FLIR_val/PSNR,FLIR_val/SSIM,FLIR_val/FID,FLIR_val/LPIPS,KAIST_val/PSNR,KAIST_val/SSIM,KAIST_val/FID,KAIST_val/LPIPS,CART_val/PSNR,CART_val/SSIM,CART_val/FID,CART_val/LPIPS,DroneVehicle_day_val/PSNR,DroneVehicle_day_val/SSIM,DroneVehicle_day_val/FID,DroneVehicle_day_val/LPIPS,DroneVehicle_night_val/PSNR,DroneVehicle_night_val/SSIM,DroneVehicle_night_val/FID,DroneVehicle_night_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,loss_G,latent_std,latent_mean,latent_normalizer
validation_end,1,569,32.739776611328125,0.9117767810821533,20.754079818725586,0.0647793561220169,29.804475784301758,0.8274355530738831,26.684385299682617,0.10750433057546616,40.837520599365234,0.9692769050598145,7.2436933517456055,0.03602319210767746,29.055208206176758,0.8559167981147766,48.373985290527344,0.10752073675394058,23.63097381591797,0.7911238670349121,21.09675407409668,0.13377363979816437,25.875276565551758,0.8217824697494507,14.7461519241333,0.12790517508983612,27.05364227294922,0.859599769115448,8.22775650024414,0.0993291512131691,,,,,,,,,,,,
train_epoch_end,1,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1353505402803421,0.0,12459.892578125,0.1228906512260437,0.1228906512260437,0.0,0.0,0.4373801052570343,0.1353505402803421,,,
validation_end,2,1138,32.72658157348633,0.9110496640205383,18.986961364746094,0.055399756878614426,29.838319778442383,0.8261088132858276,25.31661605834961,0.10150353610515594,40.98681640625,0.9649738669395447,7.532042503356934,0.03441393002867699,29.087024688720703,0.8546090126037598,49.01183319091797,0.10251051187515259,23.746599197387695,0.7937512397766113,20.725955963134766,0.12050130218267441,25.99078369140625,0.8230515122413635,14.336071968078613,0.11480934172868729,27.160404205322266,0.8593093156814575,7.911713123321533,0.09020611643791199,,,,,,,,,,1.0508850812911987,-0.06492005288600922,0.9515788555145264
train_epoch_end,2,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14372418820858002,0.0,12655.51953125,0.1310686618089676,0.1310686618089676,0.0,0.0,0.4681766927242279,0.14372418820858002,1.0508850812911987,-0.06492005288600922,0.9515788555145264
validation_end,3,1707,32.78023147583008,0.9107236266136169,17.709667205810547,0.059071414172649384,29.913183212280273,0.8286983370780945,25.735624313354492,0.1074766218662262,40.85818099975586,0.958509624004364,7.411346912384033,0.03659100458025932,29.169151306152344,0.8560230731964111,47.11148452758789,0.10518596321344376,23.827539443969727,0.7939810752868652,17.70754623413086,0.12855999171733856,26.091535568237305,0.8232362866401672,11.4519624710083,0.12467605620622635,27.247188568115234,0.8581807613372803,6.5691657066345215,0.09675445407629013,,,,,,,,,,1.040134072303772,-0.053938984870910645,0.9614145159721375
train_epoch_end,3,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1874995231628418,0.0,12672.146484375,0.17482738196849823,0.17482738196849823,0.0,0.0,0.4455040395259857,0.1874995231628418,1.040134072303772,-0.053938984870910645,0.9614145159721375
validation_end,4,2276,32.73945236206055,0.9115956425666809,18.981889724731445,0.06118592619895935,29.84913444519043,0.8276857733726501,25.995838165283203,0.10344089567661285,40.986873626708984,0.9689504504203796,7.7166266441345215,0.03550068661570549,29.143901824951172,0.8575398921966553,49.71013641357422,0.10739535093307495,23.788312911987305,0.799074113368988,19.938087463378906,0.11693144589662552,26.02400779724121,0.8267748355865479,13.594669342041016,0.11431418359279633,27.19570541381836,0.8628948330879211,7.712058067321777,0.09040815383195877,,,,,,,,,,1.0371675491333008,-0.05036040395498276,0.9641643762588501
train_epoch_end,4,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147465780377388,0.0,12405.76953125,0.13506001234054565,0.13506001234054565,0.0,0.0,0.4214474558830261,0.147465780377388,1.0371675491333008,-0.05036040395498276,0.9641643762588501
validation_end,5,2845,32.697750091552734,0.9104853868484497,18.3392276763916,0.05582492798566818,29.82341957092285,0.8284891247749329,26.904695510864258,0.10685288161039352,41.218482971191406,0.9678482413291931,7.956258773803711,0.03432059288024902,29.12970542907715,0.8578356504440308,50.696075439453125,0.11004938185214996,23.863529205322266,0.799933135509491,20.50773811340332,0.11531699448823929,26.09811782836914,0.8270450830459595,13.19197940826416,0.11357000470161438,27.26163101196289,0.8628999590873718,7.802121162414551,0.08953546732664108,,,,,,,,,,1.0372952222824097,-0.03739398345351219,0.9640457034111023
train_epoch_end,5,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1722811609506607,0.0,12546.935546875,0.15973421931266785,0.15973421931266785,0.0,0.0,0.44428908824920654,0.1722811609506607,1.0372952222824097,-0.03739398345351219,0.9640457034111023
