event,epoch,global_step,phys_factor_vae/loss_total,phys_factor_vae/loss_factor,phys_factor_vae/loss_factor_e,phys_factor_vae/loss_factor_t,phys_factor_vae/loss_factor_r,phys_factor_vae/loss_factor_a,phys_factor_vae/loss_factor_b,phys_factor_vae/loss_phys,phys_factor_vae/loss_delta,phys_factor_vae/loss_img,phys_factor_vae/loss_edge,phys_factor_vae/loss_lpips,phys_factor_vae/loss_kl,loss_G,latent_std,latent_mean,latent_normalizer,CART_val/PSNR,CART_val/SSIM,CART_val/FID,CART_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS
train_epoch_end,1,109,0.6747732162475586,0.2470162808895111,0.08356669545173645,0.13818347454071045,0.26812389492988586,0.030688349157571793,0.0713653415441513,0.17524024844169617,0.0037123956717550755,0.10650496184825897,0.12334344536066055,0.0,4958.509765625,0.6747732162475586,,,,,,,,,,,
train_epoch_end,2,218,0.5257927775382996,0.19921688735485077,0.09081824123859406,0.1440214365720749,0.049441926181316376,0.05008568987250328,0.06048738956451416,0.10189151018857956,0.003887033089995384,0.09345926344394684,0.11265172809362411,0.0,5715.8828125,0.5257927775382996,1.3960795402526855,-0.0866718664765358,0.7162915468215942,,,,,,,,
train_epoch_end,3,327,0.5112259387969971,0.19676220417022705,0.06961610913276672,0.14355921745300293,0.054116103798151016,0.0749477818608284,0.05910065025091171,0.1270693689584732,0.005377091933041811,0.06900098919868469,0.14875078201293945,0.0,6827.61083984375,0.5112259387969971,1.4919414520263672,-0.06188879534602165,0.6702675819396973,,,,,,,,
train_epoch_end,4,436,0.39174965023994446,0.14237995445728302,0.07244759798049927,0.08883590996265411,0.040268100798130035,0.09594917297363281,0.06308085471391678,0.07851886004209518,0.004982565529644489,0.06078607589006424,0.14610901474952698,0.0,7768.8603515625,0.39174965023994446,1.539788842201233,-0.07952509820461273,0.6494396924972534,,,,,,,,
train_epoch_end,5,545,0.5078609585762024,0.1769033521413803,0.067930668592453,0.11229243874549866,0.06562593579292297,0.12422928214073181,0.0751952975988388,0.14324277639389038,0.006881575100123882,0.06681514531373978,0.16361325979232788,0.0,6299.609375,0.5078609585762024,1.5361361503601074,-0.08643725514411926,0.650983989238739,,,,,,,,
train_epoch_end,6,654,0.47923439741134644,0.1899944543838501,0.06750485301017761,0.14155170321464539,0.04078083485364914,0.09196065366268158,0.04870103672146797,0.12307929992675781,0.00491248769685626,0.060884132981300354,0.12331628799438477,0.0,8650.80859375,0.47923439741134644,1.5110352039337158,-0.1221676766872406,0.6617979407310486,,,,,,,,
train_epoch_end,7,763,0.3546418845653534,0.12802934646606445,0.05175673961639404,0.07207371294498444,0.05076920986175537,0.13471028208732605,0.06741248071193695,0.10085472464561462,0.004542644135653973,0.04339075833559036,0.10753397643566132,0.0,7550.1591796875,0.3546418845653534,1.502437710762024,-0.10479091852903366,0.6655849814414978,,,,,,,,
train_epoch_end,8,872,0.33694055676460266,0.10832485556602478,0.0642041265964508,0.057665176689624786,0.052390821278095245,0.0949484184384346,0.048064425587654114,0.060180969536304474,0.003944411873817444,0.06698049604892731,0.09293197095394135,0.0,7296.36328125,0.33694055676460266,1.4812910556793213,-0.09920377284288406,0.6750867962837219,,,,,,,,
train_epoch_end,9,981,0.3311779797077179,0.11442714929580688,0.06363806873559952,0.06773748248815536,0.03173993155360222,0.11424406617879868,0.04568305239081383,0.08658431470394135,0.004615346901118755,0.04529840499162674,0.11012325435876846,0.0,7423.5302734375,0.3311779797077179,1.4484862089157104,-0.09660322964191437,0.6903759241104126,,,,,,,,
validation_end,10,1090,,,,,,,,,,,,,,,1.3849678039550781,-0.09890337288379669,0.7220384478569031,18.74664878845215,0.6640589833259583,208.06846618652344,0.5590750575065613,18.74664878845215,0.6640589833259583,208.06846618652344,0.5590750575065613
train_epoch_end,10,1090,0.38887742161750793,0.13850517570972443,0.06227180361747742,0.07922397553920746,0.06732702255249023,0.13753266632556915,0.05251289904117584,0.10513357818126678,0.004601974040269852,0.05177513509988785,0.1191745176911354,0.0,7292.81103515625,0.38887742161750793,1.3849678039550781,-0.09890337288379669,0.7220384478569031,,,,,,,,
train_epoch_end,11,1199,0.321867436170578,0.11592940241098404,0.051340848207473755,0.06987209618091583,0.0401938371360302,0.12231050431728363,0.043770335614681244,0.09321291744709015,0.004273460246622562,0.03695983812212944,0.10746575891971588,0.0,7665.5478515625,0.321867436170578,1.3659693002700806,-0.0930604636669159,0.73208087682724,,,,,,,,
train_epoch_end,12,1308,0.4365922510623932,0.1379278600215912,0.05610065907239914,0.07654987275600433,0.07216596603393555,0.16525053977966309,0.051145099103450775,0.09957414120435715,0.005177761428058147,0.07690197229385376,0.1323489546775818,0.0,7021.28662109375,0.4365922510623932,1.37967050075531,-0.0777808278799057,0.7248107194900513,,,,,,,,
train_epoch_end,13,1417,0.4269239902496338,0.14776208996772766,0.04540764540433884,0.10106474161148071,0.04997600242495537,0.10671557486057281,0.048719532787799835,0.09594781696796417,0.0041522616520524025,0.07253577560186386,0.1031050905585289,0.0,8213.9873046875,0.4269239902496338,1.3283281326293945,-0.07549947500228882,0.7528260350227356,,,,,,,,
train_epoch_end,14,1526,0.29973113536834717,0.093851737678051,0.06044546142220497,0.05105624347925186,0.022859616205096245,0.10832852125167847,0.044545501470565796,0.05732450634241104,0.0041198451071977615,0.05673225596547127,0.08954277634620667,0.0,8584.845703125,0.29973113536834717,1.3485755920410156,-0.07034125179052353,0.7415231466293335,,,,,,,,
train_epoch_end,15,1635,0.3845410645008087,0.1273602545261383,0.04608672112226486,0.07019606232643127,0.0803784728050232,0.14400921761989594,0.04458789527416229,0.12618529796600342,0.005483889486640692,0.04325466975569725,0.12214333564043045,0.0,8466.412109375,0.3845410645008087,1.3573414087295532,-0.06677668541669846,0.7367343306541443,,,,,,,,
train_epoch_end,16,1744,0.30839115381240845,0.10554733127355576,0.05809684842824936,0.05447293072938919,0.0535556823015213,0.11696270108222961,0.045859985053539276,0.07991063594818115,0.00447400938719511,0.04293933883309364,0.09732453525066376,0.0,8249.357421875,0.30839115381240845,1.3123494386672974,-0.04739914834499359,0.7619921565055847,,,,,,,,
train_epoch_end,17,1853,0.31956613063812256,0.10702665895223618,0.05042831972241402,0.05539143085479736,0.07062707841396332,0.11318986117839813,0.04020952433347702,0.07552501559257507,0.004793555475771427,0.04803652688860893,0.1110512912273407,0.0,8385.00390625,0.31956613063812256,1.313870906829834,-0.037858378142118454,0.7611097693443298,,,,,,,,
train_epoch_end,18,1962,0.37687352299690247,0.1180083304643631,0.04979247972369194,0.0545898899435997,0.09203027188777924,0.1629519909620285,0.04667021334171295,0.12382403761148453,0.004536544904112816,0.04806936904788017,0.10698752105236053,0.0,7618.99609375,0.37687352299690247,1.291993260383606,-0.02059815265238285,0.7739978432655334,,,,,,,,
train_epoch_end,19,2071,0.36360469460487366,0.11589418351650238,0.0564102903008461,0.05965343862771988,0.08364774286746979,0.12034296989440918,0.03676776587963104,0.08764500916004181,0.0035584215074777603,0.06347113847732544,0.08587048202753067,0.0,8097.1708984375,0.36360469460487366,1.2720340490341187,-0.012909017503261566,0.7861424684524536,,,,,,,,
validation_end,20,2180,,,,,,,,,,,,,,,1.2891863584518433,-0.018423566594719887,0.7756830453872681,22.212787628173828,0.7637128233909607,184.42654418945312,0.4947125017642975,22.212787628173828,0.7637128233909607,184.42654418945312,0.4947125017642975
train_epoch_end,20,2180,0.35085442662239075,0.10208626836538315,0.057740986347198486,0.05353609845042229,0.037418656051158905,0.12201492488384247,0.05023503303527832,0.07019910216331482,0.0039506214670836926,0.07225006818771362,0.08690367639064789,0.0,8392.357421875,0.35085442662239075,1.2891863584518433,-0.018423566594719887,0.7756830453872681,,,,,,,,
train_epoch_end,21,2289,0.322233110666275,0.08733692765235901,0.034374721348285675,0.03670727089047432,0.06189301609992981,0.16360682249069214,0.04080813378095627,0.10093124210834503,0.00326929846778512,0.053052082657814026,0.06668061017990112,0.0,7921.3173828125,0.322233110666275,1.2843503952026367,-0.016412954777479172,0.778603732585907,,,,,,,,
train_epoch_end,22,2398,0.35389435291290283,0.09854676574468613,0.03848748654127121,0.04967091232538223,0.05772116780281067,0.13243278861045837,0.04632163792848587,0.08460217714309692,0.004598444327712059,0.06569189578294754,0.10504595190286636,0.0,8501.6669921875,0.35389435291290283,1.2716563940048218,-0.0011806761613115668,0.7863759398460388,,,,,,,,
train_epoch_end,23,2507,0.33506855368614197,0.08963482081890106,0.037799227982759476,0.04418922960758209,0.05305374413728714,0.11452075839042664,0.04512106999754906,0.07131966948509216,0.003938793204724789,0.07091295719146729,0.07875527441501617,0.0,8660.5556640625,0.33506855368614197,1.261191725730896,0.004231251776218414,0.7929008603096008,,,,,,,,
train_epoch_end,24,2616,0.32840994000434875,0.10650567710399628,0.041091956198215485,0.04639424383640289,0.10004694014787674,0.13940922915935516,0.04354317486286163,0.13017648458480835,0.00402597151696682,0.028978703543543816,0.08473490923643112,0.0,8560.6796875,0.32840994000434875,1.2186399698257446,0.014841916039586067,0.8205869197845459,,,,,,,,
train_epoch_end,25,2725,0.3064153790473938,0.10256297886371613,0.047048769891262054,0.04988282173871994,0.07530476152896881,0.13217096030712128,0.03549869731068611,0.1107364296913147,0.0038392788264900446,0.03053884766995907,0.0777837410569191,0.0,8753.0703125,0.3064153790473938,1.205352544784546,0.01239360123872757,0.8296328186988831,,,,,,,,
train_epoch_end,26,2834,0.34281787276268005,0.09727896004915237,0.033795613795518875,0.04362483322620392,0.06843771040439606,0.1493009477853775,0.052662819623947144,0.11064659059047699,0.003555562812834978,0.05215046927332878,0.0757434219121933,0.0,8099.94140625,0.34281787276268005,1.1732971668243408,0.018748413771390915,0.8522989749908447,,,,,,,,
