event,epoch,global_step,phys_factor_vae/loss_total,phys_factor_vae/loss_factor,phys_factor_vae/loss_factor_e,phys_factor_vae/loss_factor_t,phys_factor_vae/loss_factor_r,phys_factor_vae/loss_factor_a,phys_factor_vae/loss_factor_b,phys_factor_vae/loss_phys,phys_factor_vae/loss_delta,phys_factor_vae/loss_img,phys_factor_vae/loss_edge,phys_factor_vae/loss_lpips,phys_factor_vae/loss_kl,loss_G,latent_std,latent_mean,latent_normalizer,AVIID_val/PSNR,AVIID_val/SSIM,AVIID_val/FID,AVIID_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS
train_epoch_end,1,151,1.021221399307251,0.6486527919769287,0.3307459056377411,0.4305283725261688,0.4438589811325073,0.08870764076709747,0.062409549951553345,0.07309237122535706,0.005276244133710861,0.08871277421712875,0.2062474638223648,0.59765625,5459.0576171875,1.021221399307251,,,,,,,,,,,
train_epoch_end,2,302,0.45137903094291687,0.12413635104894638,0.054627951234579086,0.08969928324222565,0.02751203253865242,0.009999683126807213,0.05160841345787048,0.0737348347902298,0.003994702827185392,0.07480582594871521,0.14565107226371765,0.552734375,8221.3759765625,0.45137903094291687,1.451310157775879,-0.3498580753803253,0.6890326142311096,,,,,,,,
train_epoch_end,3,453,0.4108387529850006,0.10198746621608734,0.04325094819068909,0.07155093550682068,0.024123208597302437,0.023978769779205322,0.044780440628528595,0.03858325630426407,0.0038674152456223965,0.08764128386974335,0.13112302124500275,0.50390625,7952.7509765625,0.4108387529850006,1.426066279411316,-0.2919501066207886,0.7012296915054321,,,,,,,,
train_epoch_end,4,604,0.39710763096809387,0.09775599837303162,0.042801544070243835,0.06878191232681274,0.015193987637758255,0.027292292565107346,0.046983882784843445,0.044907499104738235,0.004507673904299736,0.07858578860759735,0.15221023559570312,0.461669921875,8539.2421875,0.39710763096809387,1.4016731977462769,-0.2688015103340149,0.7134330868721008,,,,,,,,
train_epoch_end,5,755,0.304616242647171,0.07427183538675308,0.0318453311920166,0.04906290024518967,0.014524079859256744,0.029525354504585266,0.04265618324279785,0.04515870288014412,0.004045995883643627,0.04874957352876663,0.13162380456924438,0.4150390625,9230.7060546875,0.304616242647171,1.3439559936523438,-0.21648694574832916,0.7440719604492188,,,,,,,,
train_epoch_end,6,906,0.2942065894603729,0.06658300012350082,0.02804126963019371,0.04390797019004822,0.010879000648856163,0.033100634813308716,0.038539592176675797,0.04009486362338066,0.0044006165117025375,0.04884691908955574,0.1348457932472229,0.4169921875,10035.810546875,0.2942065894603729,1.2978439331054688,-0.16548994183540344,0.7705086469650269,,,,,,,,
train_epoch_end,7,1057,0.27736175060272217,0.0618910938501358,0.02231929823756218,0.04096327722072601,0.009921157732605934,0.03818156570196152,0.036198168992996216,0.04691961780190468,0.00430428609251976,0.04152652621269226,0.1295764148235321,0.39013671875,9798.13671875,0.27736175060272217,1.2569997310638428,-0.1355917900800705,0.7955451011657715,,,,,,,,
train_epoch_end,8,1208,0.29549363255500793,0.07219746708869934,0.03198909014463425,0.04836297780275345,0.012740150094032288,0.044251903891563416,0.032907962799072266,0.06054085120558739,0.003974025137722492,0.03983131796121597,0.12188370525836945,0.392578125,9402.134765625,0.29549363255500793,1.212083339691162,-0.10273072868585587,0.8250257968902588,,,,,,,,
train_epoch_end,9,1359,0.2627340853214264,0.06003618985414505,0.021299242973327637,0.03918517380952835,0.011293649673461914,0.04251042380928993,0.03380701690912247,0.04020516574382782,0.004120655823498964,0.04002385959029198,0.12538626790046692,0.366943359375,10295.6533203125,0.2627340853214264,1.1751656532287598,-0.08290541917085648,0.8509438633918762,,,,,,,,
validation_end,10,1510,,,,,,,,,,,,,,,1.1572697162628174,-0.07708071172237396,0.8641027808189392,24.76667594909668,0.7194122076034546,118.29045104980469,0.4052237272262573,24.76667594909668,0.7194122076034546,118.29045104980469,0.4052237272262573
train_epoch_end,10,1510,0.29322946071624756,0.07396745681762695,0.022059259936213493,0.051488541066646576,0.019550535827875137,0.03676286339759827,0.03360071778297424,0.05511292442679405,0.004567581228911877,0.03812270984053612,0.13540658354759216,0.39111328125,10360.896484375,0.29322946071624756,1.1572697162628174,-0.07708071172237396,0.8641027808189392,,,,,,,,
train_epoch_end,11,1661,0.28747665882110596,0.0652596652507782,0.020433735102415085,0.044735055416822433,0.012286515906453133,0.03506935015320778,0.03535043075680733,0.032176680862903595,0.004092917777597904,0.05474012345075607,0.12326820194721222,0.35302734375,10341.296875,0.28747665882110596,1.1026933193206787,-0.06754083186388016,0.9068704843521118,,,,,,,,
train_epoch_end,12,1812,0.279133141040802,0.064687080681324,0.01850886084139347,0.04307065159082413,0.018583955243229866,0.039468828588724136,0.033585358411073685,0.03880320489406586,0.004334686789661646,0.047018177807331085,0.12630772590637207,0.34716796875,10965.8984375,0.279133141040802,1.1153557300567627,-0.0703500509262085,0.8965749144554138,,,,,,,,
train_epoch_end,13,1963,0.2620980441570282,0.05570702999830246,0.022775201126933098,0.034904055297374725,0.009260153397917747,0.05073798820376396,0.030881337821483612,0.046616919338703156,0.004371968097984791,0.04000185430049896,0.1267247051000595,0.32763671875,10941.3701171875,0.2620980441570282,1.0837345123291016,-0.06333102285861969,0.9227352142333984,,,,,,,,
train_epoch_end,14,2114,0.27699264883995056,0.06584009528160095,0.02047624997794628,0.04390652850270271,0.01609174720942974,0.04953092336654663,0.0313538983464241,0.06014437973499298,0.004674179945141077,0.034814491868019104,0.13012348115444183,0.33251953125,10909.974609375,0.27699264883995056,1.087109088897705,-0.05773300677537918,0.919870913028717,,,,,,,,
train_epoch_end,15,2265,0.2447119951248169,0.05863100662827492,0.018786484375596046,0.0395393930375576,0.00982421450316906,0.04737746715545654,0.02880476787686348,0.05510297045111656,0.0041650207713246346,0.028196219354867935,0.11474182456731796,0.3056640625,11171.7578125,0.2447119951248169,1.0542019605636597,-0.05023700371384621,0.9485848546028137,,,,,,,,
train_epoch_end,16,2416,0.2586009204387665,0.05909346789121628,0.017795495688915253,0.039158593863248825,0.010949471965432167,0.04800322651863098,0.03179324418306351,0.049700915813446045,0.004534582607448101,0.0353388786315918,0.12740439176559448,0.31201171875,11538.880859375,0.2586009204387665,1.061898946762085,-0.05487608164548874,0.9417092204093933,,,,,,,,
train_epoch_end,17,2567,0.24556097388267517,0.05233914777636528,0.019796669483184814,0.033302418887615204,0.008852331899106503,0.05043993890285492,0.027321934700012207,0.04244884476065636,0.004105456173419952,0.0385822094976902,0.1091265082359314,0.305908203125,11627.59375,0.24556097388267517,1.0515904426574707,-0.049766454845666885,0.9509405493736267,,,,,,,,
train_epoch_end,18,2718,0.27051055431365967,0.06966646015644073,0.016912072896957397,0.04975002259016037,0.010903557762503624,0.06194865703582764,0.027070678770542145,0.07300539314746857,0.004195060580968857,0.0272204652428627,0.11048218607902527,0.2998046875,11598.6484375,0.27051055431365967,1.0463489294052124,-0.04461352899670601,0.9557041525840759,,,,,,,,
train_epoch_end,19,2869,0.227409228682518,0.05326271057128906,0.014612851664423943,0.03549044951796532,0.008576227352023125,0.05973942577838898,0.024004194885492325,0.05368879809975624,0.0038404720835387707,0.026045523583889008,0.09938254207372665,0.27978515625,11695.966796875,0.227409228682518,1.0375620126724243,-0.04165422543883324,0.9637978076934814,,,,,,,,
validation_end,20,3020,,,,,,,,,,,,,,,1.0450060367584229,-0.04847889021039009,0.9569322466850281,27.15532875061035,0.7918894290924072,85.34070587158203,0.2661859393119812,27.15532875061035,0.7918894290924072,85.34070587158203,0.2661859393119812
train_epoch_end,20,3020,0.23421064019203186,0.050364576280117035,0.014239039272069931,0.03289493918418884,0.009031768888235092,0.05449926108121872,0.024808041751384735,0.04633564129471779,0.004015307407826185,0.03334721177816391,0.1077146828174591,0.27734375,12131.537109375,0.23421064019203186,1.0450060367584229,-0.04847889021039009,0.9569322466850281,,,,,,,,
train_epoch_end,21,3171,0.2325264811515808,0.04931725561618805,0.016215495765209198,0.029017668217420578,0.015779223293066025,0.06143763288855553,0.024628575891256332,0.049489982426166534,0.0039135608822107315,0.03219287842512131,0.09957878291606903,0.28125,12403.2802734375,0.2325264811515808,1.028921127319336,-0.04587849602103233,0.9718918204307556,,,,,,,,
train_epoch_end,22,3322,0.23588114976882935,0.048789188265800476,0.015341285616159439,0.030316172167658806,0.00912600290030241,0.05995003506541252,0.025444744154810905,0.0380820706486702,0.0038419286720454693,0.04109805077314377,0.0957750529050827,0.26904296875,12126.845703125,0.23588114976882935,1.0367052555084229,-0.0398092083632946,0.964594304561615,,,,,,,,
