event,epoch,global_step,phys_factor_vae/loss_total,phys_factor_vae/loss_factor,phys_factor_vae/loss_factor_e,phys_factor_vae/loss_factor_t,phys_factor_vae/loss_factor_r,phys_factor_vae/loss_factor_a,phys_factor_vae/loss_factor_b,phys_factor_vae/loss_phys,phys_factor_vae/loss_delta,phys_factor_vae/loss_img,phys_factor_vae/loss_edge,phys_factor_vae/loss_lpips,phys_factor_vae/loss_kl,loss_G,latent_std,latent_mean,latent_normalizer,CART_val/PSNR,CART_val/SSIM,CART_val/FID,CART_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS
train_epoch_end,1,109,0.7594292163848877,0.3090755045413971,0.1432054191827774,0.21985745429992676,0.12613219022750854,0.04629978537559509,0.06901467591524124,0.1328161060810089,0.006551788188517094,0.10186756402254105,0.1661706566810608,0.6171875,4001.4697265625,0.7594292163848877,,,,,,,,,,,
train_epoch_end,2,218,0.5532984733581543,0.20575305819511414,0.17297416925430298,0.1029290109872818,0.13483268022537231,0.10863512754440308,0.06003526970744133,0.07543576508760452,0.0038083475083112717,0.08829904347658157,0.11330127716064453,0.57421875,5943.859375,0.5532984733581543,1.272896409034729,0.3342294692993164,0.7856099009513855,,,,,,,,
train_epoch_end,3,327,0.5316669344902039,0.1819588840007782,0.14738018810749054,0.08462432026863098,0.12333117425441742,0.15276771783828735,0.0575198158621788,0.048148736357688904,0.004748874343931675,0.10211469233036041,0.11637924611568451,0.5615234375,7333.884765625,0.5316669344902039,1.4172712564468384,0.297441303730011,0.7055812478065491,,,,,,,,
train_epoch_end,4,436,0.5890578627586365,0.21434032917022705,0.1484610140323639,0.0972658321261406,0.1744861900806427,0.2050020396709442,0.06335001438856125,0.12078152596950531,0.003933595959097147,0.08220484852790833,0.11125162243843079,0.52001953125,5777.8193359375,0.5890578627586365,1.4575687646865845,0.22998256981372833,0.6860739588737488,,,,,,,,
train_epoch_end,5,545,0.47395122051239014,0.17991648614406586,0.15409377217292786,0.07485687732696533,0.13395968079566956,0.2099260538816452,0.04821457713842392,0.10286176204681396,0.0034574116580188274,0.05698441341519356,0.08390112966299057,0.46826171875,5957.47802734375,0.47395122051239014,1.5005549192428589,0.20705345273017883,0.6664201021194458,,,,,,,,
train_epoch_end,6,654,0.47075068950653076,0.17174144089221954,0.11628119647502899,0.07563341408967972,0.13472460210323334,0.20129799842834473,0.05290709435939789,0.060814231634140015,0.004372759256511927,0.0740002989768982,0.11028143763542175,0.5029296875,7958.32177734375,0.47075068950653076,1.4236247539520264,0.16152583062648773,0.7024322748184204,,,,,,,,
train_epoch_end,7,763,0.3871607780456543,0.16438905894756317,0.1492261290550232,0.07119207829236984,0.09685106575489044,0.19443166255950928,0.04893802851438522,0.07172808051109314,0.004120395518839359,0.036840394139289856,0.07799872010946274,0.468994140625,6837.240234375,0.3871607780456543,1.412264347076416,0.16600903868675232,0.7080827355384827,,,,,,,,
train_epoch_end,8,872,0.450285404920578,0.17687267065048218,0.11669028550386429,0.08625955134630203,0.12046197056770325,0.19885671138763428,0.04575755447149277,0.0755683034658432,0.004326774738729,0.055436745285987854,0.10810526460409164,0.475830078125,8040.93603515625,0.450285404920578,1.3866490125656128,0.18956923484802246,0.7211630344390869,,,,,,,,
train_epoch_end,9,981,0.5092954039573669,0.19942960143089294,0.19974452257156372,0.07869023084640503,0.14915436506271362,0.21566107869148254,0.04779418185353279,0.12158460915088654,0.004899868741631508,0.053140461444854736,0.11309801787137985,0.431884765625,5643.5654296875,0.5092954039573669,1.3758494853973389,0.20549564063549042,0.7268236875534058,,,,,,,,
validation_end,10,1090,,,,,,,,,,,,,,,1.3293206691741943,0.17665429413318634,0.7522639632225037,21.77141761779785,0.6594515442848206,182.51869201660156,0.40854310989379883,21.77141761779785,0.6594515442848206,182.51869201660156,0.40854310989379883
