event,epoch,global_step,phys_factor_vae/loss_total,phys_factor_vae/loss_factor,phys_factor_vae/loss_factor_e,phys_factor_vae/loss_factor_t,phys_factor_vae/loss_factor_r,phys_factor_vae/loss_factor_a,phys_factor_vae/loss_factor_b,phys_factor_vae/loss_phys,phys_factor_vae/loss_delta,phys_factor_vae/loss_img,phys_factor_vae/loss_edge,phys_factor_vae/loss_lpips,phys_factor_vae/loss_kl,loss_G,latent_std,latent_mean,latent_normalizer,DroneVehicle_night_val/PSNR,DroneVehicle_night_val/SSIM,DroneVehicle_night_val/FID,DroneVehicle_night_val/LPIPS,val_all/PSNR,val_all/SSIM,val_all/FID,val_all/LPIPS
train_epoch_end,1,616,1.1625438928604126,0.8587418794631958,0.508823812007904,0.5625663995742798,0.5472991466522217,0.19771111011505127,0.049494463950395584,0.06817355006933212,0.0029344770591706038,0.06477208435535431,0.18426313996315002,0.501953125,6882.6865234375,1.1625438928604126,,,,,,,,,,,
train_epoch_end,2,1232,1.104199767112732,0.8611673712730408,0.5301464796066284,0.5672386884689331,0.5238491296768188,0.20012927055358887,0.04166742414236069,0.04799143970012665,0.002863655798137188,0.05172645300626755,0.1540071964263916,0.418212890625,8413.4765625,1.104199767112732,1.3134928941726685,0.06081768125295639,0.7613288164138794,,,,,,,,
train_epoch_end,3,1848,1.0754013061523438,0.7982152104377747,0.5139247179031372,0.5163540840148926,0.4811040759086609,0.1992342174053192,0.05272194743156433,0.051867708563804626,0.0033149197697639465,0.059835053980350494,0.20933488011360168,0.4072265625,9289.1904296875,1.0754013061523438,1.1170581579208374,-0.004005754366517067,0.8952085375785828,,,,,,,,
train_epoch_end,4,2464,1.0843493938446045,0.8263072371482849,0.5110251903533936,0.5365524291992188,0.5188273191452026,0.19964778423309326,0.04930780827999115,0.05292859673500061,0.003507051384076476,0.052399225533008575,0.20463436841964722,0.350830078125,10554.228515625,1.0843493938446045,1.0518333911895752,-0.011359699070453644,0.9507209062576294,,,,,,,,
train_epoch_end,5,3080,1.0709984302520752,0.8544275760650635,0.5068413019180298,0.5576382875442505,0.5608500242233276,0.19982194900512695,0.039536863565444946,0.052220847457647324,0.003176686353981495,0.0406939759850502,0.15008780360221863,0.3056640625,11700.125,1.0709984302520752,1.0214296579360962,-0.006328729912638664,0.9790199398994446,,,,,,,,
train_epoch_end,6,3696,1.0284725427627563,0.8295925259590149,0.5182613134384155,0.5392729640007019,0.5268833637237549,0.19901323318481445,0.03652837499976158,0.04748166725039482,0.0032944735139608383,0.03639736771583557,0.1399650126695633,0.271240234375,13187.794921875,1.0284725427627563,1.0448755025863647,0.02618969790637493,0.9570518136024475,,,,,,,,
train_epoch_end,7,4312,1.0275020599365234,0.8427364230155945,0.5351257920265198,0.5484739542007446,0.5296282768249512,0.1992967426776886,0.03257732093334198,0.04996907711029053,0.003327044425532222,0.031714390963315964,0.12515807151794434,0.227294921875,14015.642578125,1.0275020599365234,0.9879104495048523,0.005200323183089495,1.012237548828125,,,,,,,,
train_epoch_end,8,4928,1.029476523399353,0.8610638976097107,0.5341205596923828,0.5685341358184814,0.5326036810874939,0.19990620017051697,0.023432370275259018,0.035156454890966415,0.002730743493884802,0.0370069295167923,0.09329789131879807,0.1920166015625,13991.580078125,1.029476523399353,0.9691339731216431,0.004245399963110685,1.0318490266799927,,,,,,,,
train_epoch_end,9,5544,1.0198607444763184,0.8513434529304504,0.5313986539840698,0.5566879510879517,0.5400058031082153,0.19944018125534058,0.02744147926568985,0.04839745908975601,0.0032633915543556213,0.027843855321407318,0.10639598220586777,0.1971435546875,14855.3828125,1.0198607444763184,0.9637237191200256,0.006930788047611713,1.0376417636871338,,,,,,,,
validation_end,10,6160,,,,,,,,,,,,,,,0.9692535400390625,0.008917728438973427,1.031721830368042,24.380950927734375,0.8572207093238831,25.884971618652344,0.1500960886478424,24.380950927734375,0.8572207093238831,25.884971618652344,0.1500960886478424
